source_order	legacy_id_reference	canonical_unit_id	mapping_status
78	MEN-A1-0078	MEN-A1-00078	ORDER_PRESERVING_REFERENCE
79	MEN-A1-0079	MEN-A1-00079	ORDER_PRESERVING_REFERENCE
80	MEN-A1-0080	MEN-A1-00080	ORDER_PRESERVING_REFERENCE
81	MEN-A1-0081	MEN-A1-00081	ORDER_PRESERVING_REFERENCE
82	MEN-A1-0082	MEN-A1-00082	ORDER_PRESERVING_REFERENCE
83	MEN-A1-0083	MEN-A1-00083	ORDER_PRESERVING_REFERENCE
84	MEN-A1-0084	MEN-A1-00084	ORDER_PRESERVING_REFERENCE
85	MEN-A1-0085	MEN-A1-00085	ORDER_PRESERVING_REFERENCE
86	MEN-A1-0086	MEN-A1-00086	ORDER_PRESERVING_REFERENCE
87	MEN-A1-0087	MEN-A1-00087	ORDER_PRESERVING_REFERENCE
88	MEN-A1-0088	MEN-A1-00088	ORDER_PRESERVING_REFERENCE
89	MEN-A1-0089	MEN-A1-00089	ORDER_PRESERVING_REFERENCE
90	MEN-A1-0090	MEN-A1-00090	ORDER_PRESERVING_REFERENCE
91	MEN-A1-0091	MEN-A1-00091	ORDER_PRESERVING_REFERENCE
92	MEN-A1-0092	MEN-A1-00092	ORDER_PRESERVING_REFERENCE
93	MEN-A1-0093	MEN-A1-00093	ORDER_PRESERVING_REFERENCE
94	MEN-A1-0094	MEN-A1-00094	ORDER_PRESERVING_REFERENCE
95	MEN-A1-0095	MEN-A1-00095	ORDER_PRESERVING_REFERENCE
96	MEN-A1-0096	MEN-A1-00096	ORDER_PRESERVING_REFERENCE
97	MEN-A1-0097	MEN-A1-00097	ORDER_PRESERVING_REFERENCE
98	MEN-A1-0098	MEN-A1-00098	ORDER_PRESERVING_REFERENCE
99	MEN-A1-0099	MEN-A1-00099	ORDER_PRESERVING_REFERENCE
100	MEN-A1-0100	MEN-A1-00100	ORDER_PRESERVING_REFERENCE
101	MEN-A1-0101	MEN-A1-00101	ORDER_PRESERVING_REFERENCE
102	MEN-A1-0102	MEN-A1-00102	ORDER_PRESERVING_REFERENCE
103	MEN-A1-0103	MEN-A1-00103	ORDER_PRESERVING_REFERENCE
104	MEN-A1-0104	MEN-A1-00104	ORDER_PRESERVING_REFERENCE
105	MEN-A1-0105	MEN-A1-00105	ORDER_PRESERVING_REFERENCE
106	MEN-A1-0106	MEN-A1-00106	ORDER_PRESERVING_REFERENCE
107	MEN-A1-0107	MEN-A1-00107	ORDER_PRESERVING_REFERENCE
108	MEN-A1-0108	MEN-A1-00108	ORDER_PRESERVING_REFERENCE
109	MEN-A1-0109	MEN-A1-00109	ORDER_PRESERVING_REFERENCE
110	MEN-A1-0110	MEN-A1-00110	ORDER_PRESERVING_REFERENCE
111	MEN-A1-0111	MEN-A1-00111	ORDER_PRESERVING_REFERENCE
112	MEN-A1-0112	MEN-A1-00112	ORDER_PRESERVING_REFERENCE
113	MEN-A1-0113	MEN-A1-00113	ORDER_PRESERVING_REFERENCE
114	MEN-A1-0114	MEN-A1-00114	ORDER_PRESERVING_REFERENCE
115	MEN-A1-0115	MEN-A1-00115	ORDER_PRESERVING_REFERENCE
116	MEN-A1-0116	MEN-A1-00116	ORDER_PRESERVING_REFERENCE
117	MEN-A1-0117	MEN-A1-00117	ORDER_PRESERVING_REFERENCE
118	MEN-A1-0118	MEN-A1-00118	ORDER_PRESERVING_REFERENCE
119	MEN-A1-0119	MEN-A1-00119	ORDER_PRESERVING_REFERENCE
120	MEN-A1-0120	MEN-A1-00120	ORDER_PRESERVING_REFERENCE
121	MEN-A1-0121	MEN-A1-00121	ORDER_PRESERVING_REFERENCE
122	MEN-A1-0122	MEN-A1-00122	ORDER_PRESERVING_REFERENCE
123	MEN-A1-0123	MEN-A1-00123	ORDER_PRESERVING_REFERENCE
124	MEN-A1-0124	MEN-A1-00124	ORDER_PRESERVING_REFERENCE
125	MEN-A1-0125	MEN-A1-00125	ORDER_PRESERVING_REFERENCE
126	MEN-A1-0126	MEN-A1-00126	ORDER_PRESERVING_REFERENCE
127	MEN-A1-0127	MEN-A1-00127	ORDER_PRESERVING_REFERENCE
128	MEN-A1-0128	MEN-A1-00128	ORDER_PRESERVING_REFERENCE
129	MEN-A1-0129	MEN-A1-00129	ORDER_PRESERVING_REFERENCE
130	MEN-A1-0130	MEN-A1-00130	ORDER_PRESERVING_REFERENCE
131	MEN-A1-0131	MEN-A1-00131	ORDER_PRESERVING_REFERENCE
132	MEN-A1-0132	MEN-A1-00132	ORDER_PRESERVING_REFERENCE
133	MEN-A1-0133	MEN-A1-00133	ORDER_PRESERVING_REFERENCE
134	MEN-A1-0134	MEN-A1-00134	ORDER_PRESERVING_REFERENCE
135	MEN-A1-0135	MEN-A1-00135	ORDER_PRESERVING_REFERENCE
136	MEN-A1-0136	MEN-A1-00136	ORDER_PRESERVING_REFERENCE
137	MEN-A1-0137	MEN-A1-00137	ORDER_PRESERVING_REFERENCE
138	MEN-A1-0138	MEN-A1-00138	ORDER_PRESERVING_REFERENCE
139	MEN-A1-0139	MEN-A1-00139	ORDER_PRESERVING_REFERENCE
140	MEN-A1-0140	MEN-A1-00140	ORDER_PRESERVING_REFERENCE
141	MEN-A1-0141	MEN-A1-00141	ORDER_PRESERVING_REFERENCE
142	MEN-A1-0142	MEN-A1-00142	ORDER_PRESERVING_REFERENCE
143	MEN-A1-0143	MEN-A1-00143	ORDER_PRESERVING_REFERENCE
144	MEN-A1-0144	MEN-A1-00144	ORDER_PRESERVING_REFERENCE
145	MEN-A1-0145	MEN-A1-00145	ORDER_PRESERVING_REFERENCE
146	MEN-A1-0146	MEN-A1-00146	ORDER_PRESERVING_REFERENCE
147	MEN-A1-0147	MEN-A1-00147	ORDER_PRESERVING_REFERENCE
